adid,location,addate,title,price,paymentoptions,description,fueltype,kilometers begin,kilometers end,color,transmission,bodytype,enginecapstart,enginecapend
196511432,Nasr City,03-25-2023,ام جى ZS موديل 2022 الفئه التانيةفبريكا برا وجوا بالكامل بدهان المصنع,625000,Cash,‏#vipmotors‏Affordable & like newأرخص مستعمل في مصر بحاله الزيروام جى ZSموديل 2022 الفئه التانيةفبريكا برا و جوا بالكامل بدهان المصنع حالة ممتازة عداد العربية 40000kmصيانات توكيل بالفواتير السيارة رخصة سارية سنة حالة فوق الممتازة‎تواجد السيارة في فرع مدينه نصر‎‏Vip motors01124199205011221290120109195540601159416698,Benzine,40000,49999,Blue- Navy Blue,Automatic,Hatchback,1400,1500
196486134,Shubra,03-22-2023,كيا كوبيه اعلي فئه ممتازه,345000,Cash,السياره بحاله ممتازه فابريكه دواخل ورشه بالخارج حزام نظافه فقط ماعدا السقف كامله اعلي فئه فتحه سقف بصمه ايرباجات طاره مالتي مرايات كهربا جنوط اسبورت صالون جلد اورجينال رخصه ساريه تاني مالك صيانات كامله كاوتش جديد صالون بحاله ممتازه ولا تحتاج لأي مصاريف,Benzine,100000,119999,Blue- Navy Blue,Automatic,Coupe,1600,
196472964,New Cairo - El Tagamoa,03-21-2023,Mercedes cls 500,1200000,Cash,Mercedes cls 5300 cc2006white X BROWN170000kmelectric chairs any information:01126754000,Benzine,160000,179999,White,Automatic,Coupe,3000,
196421495,New Cairo - El Tagamoa,03-21-2023,فبريكه بالكامل,1750000,Cash,بفضل الله عندنا وبس AM Garage BMW 520i 2019فابريكه بالكامل بدون ملحوظهمواصفه خاصه جدا تعالي اقولك ( محرك توين تيربو بقوه ١٧٠ حصان // تسارع من ١٠٠/٠ في ٨ ثواني //  شنطه كهرباء //  ابواب شفط //نقطة عمياء //رادر للطريق //    وقوف مفاجئ // شبكة كهرباء //حساسات اماميه وخلفيه وجانبيه ركن تلقائي //فرش جلد طبيعي ابيض //  كراسي كهرباء //ميموري كراسي //طاره متحركه كهرباء -الخ )عداد ٨٠ الف ( صيانات توكيل بالكامل اخر صيانه من ٥٠٠ كيلو )رخصه ٦شهور مرور النزههاعمل منشن وشير لاصدقائك متاح القسط متاح البدل شرط الحاله المعاينه التجمع الخامس تليفون اخر:01027603939,Benzine,0,9999,White,Automatic,Sedan,1600,
196505458,Heliopolis,03-24-2023,Toyota Land Cruiser GXR V6 2021,5750000,Cash,Toyota Land Cruiser GXR V6 20214000cc271hp6000 km 6 Cylinders8-speed shiftable automaticBlind spotRear cross traffic alertAirbagsStability controlTraction controlChild seat anchors4-wheel ABSFront and rear ventilated disc brakesEmergency braking preparationEmergency braking assistTire pressure monitoringDusk sensing headlampsAuto delay off headlampsLED headlampDaytime running lightsFront fog/driving lightsRemote anti-theft alarm systemEngine immobilizerFour wheel drive Premium leatherBucket front seats10-way power driver seatHeight adjustable driver seat3 memorized driver seat settingsMulti-level heating seats Ventilated seats Keyless ignitionTilt and telescopic steering wheelAudio and cruise controls on steering wheelPower steeringFront side and rear view cameraFront and rear parking sensorsWireless chargingAdaptive cruise controlFront seatback storageLeather and simulated wood steering wheelHeated steering wheelFour zone climate controlCooled storage compartmentFront independent suspension,Benzine,0,9999,White,Automatic,4X4,3000,
194349592,New Cairo - El Tagamoa,03-19-2023,Mercedes e300 exclusive 2021 Fully loaded مرسيدس اي 300 اكسكلوسيف,3900000,Cash,Mercedes e300 exclusive 2021Fully loaded24000 kmPanoramatic roofHeated seatsElectric trunkElectric seatsHead up display360° cameraComfort accessSoft close doorsKey less entryBlind spot sensorsMultiBeam head lightPurmster sound systemPrice: 3800000egpمرسيدس اي 300 2021الشكل الجديدعداد علي الزجاج (بروجيكتور)كاميرا ٣٦٠بانورامافواحه كهرباءكراسي كهرباء و ميموري و سخناتفرش ناباكشفات ماتي بيمبصمهابواب شفطستائر كهربائيةشنطه كهرباء (بحساس القدم)عداد 24000 كمالسعر 3500000For more information call 01126754000,Benzine,20000,29999,Silver,Automatic,Sedan,1800,2000
196237346,Heliopolis,03-22-2023,Mercedes E200 Avantgarde 2022,3350000,,Mercedes E200 Avantgarde 20222000cc198hpKeyless entryRear cameraBlack leather interior Panoramic sliding sunroof R18Electric tailgate Burmester sound system,Benzine,0,9999,Black,Automatic,Sedan,1800,2000
196323959,Madinaty,03-20-2023,توب لاين انسجنيا,670000,Cash,رشه قطعتيناستخدام خفيفتاني مالك من الزيروالتفاوض في السعر بعد المعاينةمدينتي,Benzine,100000,119999,White,Automatic,Sedan,1600,
196503633,Downtown Cairo,03-25-2023,بيع عربيه,1150000,Cash,بيجو ٥٠٠٨ حساسات امامي وخلفي زجاج خلفي ملون ٢٠٢٢ بدون اي خرابيش جديده صيانه في التوكيل مطلوب مليون 150 رخصه ل ٢٠٢٥,Benzine,0,9999,White,Automatic,Sedan,1600,
196455276,Katameya,03-22-2023,MG 5 للبيع ٢٠٢١ اعلي فئة,450000,Cash,فبريكا معاده الشنطة و الاكصدام الخلفي,Benzine,180000,199999,Red,Automatic,Sedan,1400,1500
196514488,Heliopolis,03-25-2023,Mercedes  C300 AMG Coupe 2020,1800000,Cash,فبريكا بالكامل برة وجوة ماعدا رفرف وباب فقط عداد 50  الف كيلو رخصة باسمي مرور العتبة,Benzine,50000,59999,Black,Automatic,Coupe,1800,2000
196513161,Nasr City,03-25-2023,مرسيدس c180 موديل 2013 كامله بانورامافبريكا بالكامل بدهان المصنع,1150000,Cash,‏#vipmotors‏Affordable & like newأرخص مستعمل في مصر بحاله الزيرومرسيدس c180موديل 2013كامله بانوراما فبريكا برا و جوا بالكامل بدهان المصنع حالة ممتازة وارد المانيا الوحيدة فى مصرعداد العربية 67 ألف كيلو السيارة مرور الدقهلية والرخصة سارية سنة ‎تواجد السيارة في فرع مدينه نصر‎‏Vip motors01124199205011221290120109195540601159416698,Benzine,40000,49999,Silver,Automatic,Sedan,1600,
196422840,Shubra,03-18-2023,رينو لوجان 2017 اتوماتيك ممتازه,220000,Cash,السياره بحاله ممتازه فابريكه دواخل ورشه بالخارج حزام نظافه كامله اتوماتيك رخصه ساريه تاني مالك صيانات كامله كاوتش جديد صالون بحاله ممتازه ولا تحتاج لأي مصاريف,Benzine,100000,119999,Black,Automatic,Sedan,1600,
196251144,Heliopolis,03-22-2023,سوبارو xv 2017,745000,Installments,بحاله مميزه جداً سوبارو xv اعلى فئه لاكشرى عداد ٧٥ الف كم فقط فبريكه بالكامل بحاله الزيرو تماماً,Benzine,70000,79999,,Automatic,SUV,1600,
