adid,location,addate,title,price,paymentoptions,description,fueltype,kilometers begin,kilometers end,color,transmission,bodytype,enginecapstart,enginecapend
196511432,Nasr City,03-25-2023,"ام جى ZS موديل 2022 الفئه التانية
فبريكا برا وجوا بالكامل بدهان المصنع",625000,Cash,"‏#vipmotors
‏Affordable & like new
أرخص مستعمل في مصر بحاله الزيرو
ام جى ZSموديل 2022 الفئه التانية
فبريكا برا و جوا بالكامل بدهان المصنع حالة ممتازة 
عداد العربية 40,000km
صيانات توكيل بالفواتير 
السيارة رخصة سارية سنة حالة فوق الممتازة
‎تواجد السيارة في فرع مدينه نصر
‎‏Vip motors
01124199205
01122129012
01091955406
01159416698",Benzine,40000,49999,Blue- Navy Blue,Automatic,Hatchback,1400,1500
196486134,Shubra,03-22-2023,كيا كوبيه اعلي فئه ممتازه,345000,Cash,السياره بحاله ممتازه فابريكه دواخل ورشه بالخارج حزام نظافه فقط ماعدا السقف كامله اعلي فئه فتحه سقف بصمه ايرباجات طاره مالتي مرايات كهربا جنوط اسبورت صالون جلد اورجينال رخصه ساريه تاني مالك صيانات كامله كاوتش جديد صالون بحاله ممتازه ولا تحتاج لأي مصاريف,Benzine,100000,119999,Blue- Navy Blue,Automatic,Coupe,1600,
196472964,New Cairo - El Tagamoa,03-21-2023,Mercedes cls 500,1200000,Cash,"Mercedes cls 
5300 cc
2006
white X BROWN
170000km
electric chairs 
any information:01126754000",Benzine,160000,179999,White,Automatic,Coupe,3000,
196421495,New Cairo - El Tagamoa,03-21-2023,فبريكه بالكامل,1750000,Cash,"بفضل الله 
عندنا وبس AM Garage 
BMW 520i 2019
فابريكه بالكامل بدون ملحوظه
مواصفه خاصه جدا تعالي اقولك 
( محرك توين تيربو بقوه ١٧٠ حصان // تسارع من ١٠٠/٠ في ٨ ثواني //  شنطه كهرباء //  ابواب شفط //نقطة عمياء //رادر للطريق //    وقوف مفاجئ // شبكة كهرباء //حساسات اماميه وخلفيه وجانبيه ركن تلقائي //فرش جلد طبيعي ابيض //  كراسي كهرباء //ميموري كراسي //طاره متحركه كهرباء -الخ )
عداد ٨٠ الف ( صيانات توكيل بالكامل اخر صيانه من ٥٠٠ كيلو )
رخصه ٦شهور مرور النزهه
اعمل منشن وشير لاصدقائك 
متاح القسط متاح البدل شرط الحاله 
المعاينه التجمع الخامس 
تليفون اخر:01027603939",Benzine,0,9999,White,Automatic,Sedan,1600,
196505458,Heliopolis,03-24-2023,Toyota Land Cruiser GXR V6 2021,5750000,Cash,"Toyota Land Cruiser GXR V6 2021
4000cc
271hp
6,000 km 
6 Cylinders
8-speed shiftable automatic
Blind spot
Rear cross traffic alert
Airbags
Stability control
Traction control
Child seat anchors
4-wheel ABS
Front and rear ventilated disc brakes
Emergency braking preparation
Emergency braking assist
Tire pressure monitoring
Dusk sensing headlamps
Auto delay off headlamps
LED headlamp
Daytime running lights
Front fog/driving lights
Remote anti-theft alarm system
Engine immobilizer
Four wheel drive 
Premium leather
Bucket front seats
10-way power driver seat
Height adjustable driver seat
3 memorized driver seat settings
Multi-level heating seats 
Ventilated seats 
Keyless ignition
Tilt and telescopic steering wheel
Audio and cruise controls on steering wheel
Power steering
Front, side, and rear view camera
Front and rear parking sensors
Wireless charging
Adaptive cruise control
Front seatback storage
Leather and simulated wood steering wheel
Heated steering wheel
Four zone climate control
Cooled storage compartment
Front independent suspension",Benzine,0,9999,White,Automatic,4X4,3000,
194349592,New Cairo - El Tagamoa,03-19-2023,Mercedes e300 exclusive 2021 Fully loaded مرسيدس اي 300 اكسكلوسيف,3900000,Cash,"Mercedes e300 exclusive 2021
Fully loaded
24,000 km
Panoramatic roof
Heated seats
Electric trunk
Electric seats
Head up display
360° camera
Comfort access
Soft close doors
Key less entry
Blind spot sensors
MultiBeam head light
Purmster sound system
Price: 3,800,000egp
مرسيدس اي 300 2021
الشكل الجديد
عداد علي الزجاج (بروجيكتور)
كاميرا ٣٦٠
بانوراما
فواحه كهرباء
كراسي كهرباء و ميموري و سخنات
فرش نابا
كشفات ماتي بيم
بصمه
ابواب شفط
ستائر كهربائية
شنطه كهرباء (بحساس القدم)
عداد 24000 كم
السعر 3,500,000
For more information call 01126754000",Benzine,20000,29999,Silver,Automatic,Sedan,1800,2000
196237346,Heliopolis,03-22-2023,Mercedes E200 Avantgarde 2022,3350000,,"Mercedes E200 Avantgarde 2022
2000cc
198hp
Keyless entry
Rear camera
Black leather interior 
Panoramic sliding sunroof 
R18
Electric tailgate 
Burmester sound system",Benzine,0,9999,Black,Automatic,Sedan,1800,2000
196323959,Madinaty,03-20-2023,توب لاين انسجنيا,670000,Cash,"رشه قطعتين
استخدام خفيف
تاني مالك من الزيرو
التفاوض في السعر بعد المعاينة
مدينتي",Benzine,100000,119999,White,Automatic,Sedan,1600,
196503633,Downtown Cairo,03-25-2023,بيع عربيه,1150000,Cash,بيجو ٥٠٠٨ حساسات امامي وخلفي زجاج خلفي ملون ٢٠٢٢ بدون اي خرابيش جديده صيانه في التوكيل مطلوب مليون 150 رخصه ل ٢٠٢٥,Benzine,0,9999,White,Automatic,Sedan,1600,
196455276,Katameya,03-22-2023,MG 5 للبيع ٢٠٢١ اعلي فئة,450000,Cash,فبريكا معاده الشنطة و الاكصدام الخلفي,Benzine,180000,199999,Red,Automatic,Sedan,1400,1500
196514488,Heliopolis,03-25-2023,Mercedes  C300 AMG Coupe 2020,1800000,Cash,فبريكا بالكامل برة وجوة ماعدا رفرف وباب فقط عداد 50  الف كيلو رخصة باسمي مرور العتبة,Benzine,50000,59999,Black,Automatic,Coupe,1800,2000
196513161,Nasr City,03-25-2023,"مرسيدس c180 موديل 2013 كامله بانوراما
فبريكا بالكامل بدهان المصنع",1150000,Cash,"‏#vipmotors
‏Affordable & like new
أرخص مستعمل في مصر بحاله الزيرو
مرسيدس c180موديل 2013كامله بانوراما 
فبريكا برا و جوا بالكامل بدهان المصنع حالة ممتازة 
وارد المانيا الوحيدة فى مصر
عداد العربية 67 ألف كيلو 
السيارة مرور الدقهلية والرخصة سارية سنة 
‎تواجد السيارة في فرع مدينه نصر
‎‏Vip motors
01124199205
01122129012
01091955406
01159416698",Benzine,40000,49999,Silver,Automatic,Sedan,1600,
