brand,model,year,adid
MG,ZS,2022,196511432
Kia,Cerato Coupe,2010,196486134
Mercedes-Benz,CLS,2006,196472964
BMW,520,2019,196421495
Toyota,Land Cruiser,2021,196505458
Mercedes-Benz,E300,2021,194349592
Mercedes-Benz,E200,2022,196237346
Opel,Insignia,2017,196323959
Peugeot,508,2022,196503633
MG,MG 5,2021,196455276
Mercedes-Benz,C300,2020,196514488
Mercedes-Benz,C180,2013,196513161
Renault,Logan,2017,196422840
Subaru,XV,2017,196251144
Hyundai,Accent,2010,196511289
Land Rover,Velar,2020,195496860
Nissan,Sentra,2016,196455654
Mazda,6,2015,196201557
Renault,Megane,2021,195994170
Jaguar,F-type,2015,196289321
Toyota,Corolla,2019,196461134
Mercedes-Benz,C180,2010,196446039
Mercedes-Benz,CLS,2019,196396274
Citroen,Xsara,2001,195663544
Nissan,Sunny,2019,195956152
MG,HS,2021,196079935
Porsche,Boxster,2019,196305631
BYD,F3,2020,196496802
Citroen,C5,2020,196065698
Mercedes-Benz,C180,2009,196449125
Hyundai,Elantra,2013,196495124
Renault,Megane,2005,196446441
Mercedes-Benz,CLA 180,2019,196459936
Land Rover,Discovery Sport,2016,196484878
Mercedes-Benz,C300,2020,196518173
Seat,Leon,2022,196146734
Jaguar,XE,2020,195582491
Land Rover,Range Rover,2013,196510067
Kia,Cerato,2011,196446023
Mercedes-Benz,Other,2015,196496959
Mercedes-Benz,C180,2022,196453748
BMW,316,2015,196485648
BMW,850,2020,196375442
Nissan,Sunny,2022,196306100
Mercedes-Benz,E200,2018,195536981
Mercedes-Benz,CLA 200,2014,196453560
Chevrolet,Cruze,2014,196518326
Other make,Other,2019,196016108
Ford,Kuga,2019,196481996
Toyota,Corolla,2012,196504530
Skoda,Superb,2019,196435544
Hyundai,IX35,2014,196516104
Mitsubishi,Lancer,2007,196436380
Toyota,Corolla,2014,196265481
Geely,Emgrand X7,2020,196451708
MG,RX5,2019,196435981
Kia,Picanto,2012,196516560
BMW,335,2013,196379830
Mitsubishi,Lancer,2007,196265601
Nissan,Qashqai,2019,196400928
Mercedes-Benz,E200,2021,196123757
Mercedes-Benz,B150,2007,196419097
Mitsubishi,Lancer,2004,196517225
Skoda,Superb,2019,196517143
Land Rover,Evoque,2023,196444054
BMW,X7,2020,196517651
Suzuki,S-Presso,2021,196494230
Peugeot,508,2015,196505141
Mercedes-Benz,Other,2020,196517752
Fiat,Tipo,2021,196517973
Peugeot,508,2013,196513868
Volkswagen,Passat,2016,196362428
Citroen,C4 Grand Picasso,2019,196503344
Nissan,Sentra,2021,196040469
BYD,F3,2020,196381991
Chevrolet,Aveo,2015,195778745
Chevrolet,Optra,2020,196382364
Chery,Arrizo 5,2021,196382468
Land Rover,Discovery,2006,196477652
Hyundai,Accent,2021,196383350
Kia,Cerato,2020,196423256
BMW,530,2018,196513475
Nissan,Sunny,2020,196479163
Hyundai,Elantra,2007,196501724
Mercedes-Benz,C180,2019,196513395
Jeep,Grand Cherokee,2014,196513618
Mercedes-Benz,E180,2019,196513506
Jeep,Cherokee,2002,196513689
Nissan,Qashqai,2013,196513342
Peugeot,301,2020,196513800
Chevrolet,Malibu,2019,196512060
Chrysler,Town and Country,2001,196513479
Renault,Sandero,2013,196382955
Mercedes-Benz,E300,2020,196513502
Chevrolet,Optra,2007,196502339
Citroen,C4 Grand Picasso,2016,196492336
Volkswagen,Passat,2021,196480351
Nissan,Sunny,2023,196511758
Subaru,XV,2019,196480312
Kia,Cerato,2010,196512874
Seat,Ibiza,2021,196461409
Chevrolet,Aveo,2014,196512995
Toyota,Corolla,2019,196500280
Suzuki,Alto,2016,195778571
Skoda,Octavia,2013,196066430
Honda,Civic,2012,196499452
Hyundai,Accent,2015,196510116
Chery,Other,2021,196511523
Mercedes-Benz,C200,2019,196510513
Peugeot,3008,2014,196466034
Geely,Emgrand 7,2014,196509223
BMW,X5,2003,196511373
Opel,Astra,2020,196511564
Fiat,Tipo,2020,196511309
Opel,Vectra,2008,196490638
Hyundai,Elantra,2015,196511718
Kia,Picanto,2017,196511595
Chevrolet,Optra,2006,196511726
Nissan,Sentra,2017,196511786
Mercedes-Benz,E180,2018,196431227
Jac,S3,2017,196445270
MINI,Cooper,2021,196511489
Hyundai,Elantra,2007,196430808
Nissan,Sunny,2021,196463175
Hyundai,Verna,2011,196510844
Toyota,Corolla,2020,196511922
Honda,Civic,2008,196503242
Chevrolet,Lanos,2018,196512036
Toyota,C-HR,2022,196512519
Chevrolet,Optra,2022,196432097
Geely,Emgrand X7,2019,196431946
Kia,Cerato,2015,196512433
Jeep,Liberty,2006,196490748
Hyundai,Elantra,2019,196510394
Hyundai,Accent,2021,196509826
BMW,316,2011,196462279
Volkswagen,Tiguan,2021,196477563
Kia,Cerato,2017,196510468
Toyota,Yaris,2013,196487234
Mercedes-Benz,C180,2019,196487165
BMW,316,2010,196490838
Toyota,Corolla,2021,196497951
Speranza,A113,2011,196509907
BMW,316,2006,196512674
Citroen,DS3,2013,196510080
MG,MG 5,2021,195300072
MG,6,2021,195300139
Hyundai,Tucson,2019,195994091
MG,RX5,2021,195303005
Seat,Ibiza,2021,196428219
Fiat,Tipo,2021,194782964
Mercedes-Benz,E200,2014,196428609
BMW,316,2014,196488463
Hyundai,Elantra,2012,196444965
Mercedes-Benz,C250,2010,196509943
Ford,Focus,2014,196444151
Nissan,Tiida,2007,196460135
Chevrolet,Sonic,2012,195634945
Jeep,Other,2009,196510540
Speranza,A516,2012,196510530
Chery,Arrizo 5,2020,196476630
BMW,118,2014,196510680
Nissan,Sunny,2020,196009821
Hyundai,Matrix,2010,196505552
Kia,Carens,2022,196429080
Dodge,Ram,2007,196510316
Land Rover,Range Rover Sport,2018,196489229
Mitsubishi,Pajero,2014,196426890
Other make,Karry,2020,196508329
Mercedes-Benz,A200,2021,196191314
Nissan,Sunny,2013,196223261
MINI,Cooper,2019,196506087
Toyota,Fortuner,2023,196424854
Ford,Focus,2008,196508883
Kia,Sportage,2017,196454991
Nissan,Sentra,2017,196406824
Skoda,Octavia,2010,196440691
Mercedes-Benz,C180,2019,196456024
Hyundai,Tucson,2022,196456884
Mazda,3,2017,196456821
Volkswagen,Passat,2012,196485527
Opel,Astra,2015,196472349
Lamborghini,Other,2022,195405442
Nissan,Sunny,2022,196508937
Kia,Sportage,2017,194027003
Suzuki,Van,2016,196505611
Volkswagen,Jetta,2008,196508994
Alfa Romeo,Stelvio,2020,196424659
Hyundai,Accent,2018,196448985
Peugeot,508,2022,196458486
Skoda,Octavia,2021,196379308
Renault,Logan,2018,196427199
Peugeot,3008,2022,196470140
Chevrolet,Optra,2019,196471558
Chevrolet,Lanos,2019,196498007
Volkswagen,Passat,2022,196501124
Kia,Cerato Coupe,2010,196506468
Opel,Insignia,2017,196255770
DFSK,Eagle 580,2019,196505789
Peugeot,3008,2022,196470017
Fiat,Tipo,2022,196505962
BMW,316,2013,195078086
Skoda,Octavia,2009,196505718
Hyundai,Verna,2015,196422937
